Durum,Rapor Aciklamasi
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:22:15
Menfi,147 SAHINTEPE YONUNE DOGRU ARACTA SEYIR HALINDEYKEN AVCILAR E5 DURAGINDA INMEK UZERE DUGMEYE BASTIM ARAC SOFORU BENIM ENGELLI OLMAMA RAGMEN DURAKTA DURMAYARAK DEVAM ETTI ICERIDE BULUNAN VATANDASLAR UYARMASINA RAGMEN DURAKTA DURMAMISTIR BU DURUMDAN DOLAYI SIKAYETCIYIM iett tespit: 52 km
Müspet,A 1842 KAPI NUMARALI ARACA AVCILAR YÖNÜNDE DEMİRCİLER SİTESİ DURAĞINDAN BİNDİM AKBİLİM OLMADIĞI İÇİN ŞÖFÖR BENDEN PARA ALDI 3 TL VERDİM FAKAT PARA ÜZERİ VERMEDİ ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI TALEP EDİYORUM
Müspet,C-1731 kodlu araca 31.01.2018 günü yapılan denetimde aracın sürücüsü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,A.1828 3 yolcudan ucret aldi ikaz edince de sen işine bak diyecek kadar 90 Numara Eminonunden gelip Diramana giden Saat 18 .25 Itfaiye durağindan binen yolculardi ucret od. Ek mevcuttur
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :20:15
Menfi,31 01 2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır
Menfi,93 T HAT NUMARALI ARACI İSTANBUL TIP FAKÜL DURAĞINDA BEKLİYORDUM ARAÇ DURAKTA DURMADI ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI ARZ EDERİM iett tespit: 42 km
Müspet,31 01 2018 tarihinde yapılan denetimlerde sürücünün belirlenen süreden fazla sürede çalışma yaptığı anlaşılmıştır sürücünün direksiyon başında kaldığı süre 12 saatten fazladır
Müspet,31 01 2018 tarihinde yapılan denetimlerde sürücünün belirlenen süreden fazla sürede çalışma yaptığı anlaşılmıştır.Surucu 12 saatten fazla direksiyon basindadir.
Menfi,19F hattında çalışan C-1522 kodlu araca 31.01.2018 günü yapılan denetimde aracın sürücüsü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:19:50
Müspet,Sancak tepe 11 us otobus gulbahçe gul bahce duraginda durmasi icin ısaret ettigim halde gordu durmadan gecti C1904 Saat 17.35 de bu durumda magduriyet gerek ben gerek diger yolcular magdur ediliyoruz Geregini yapmanizi ozellikle rica ediyorum iett tespit: 40 km
Müspet,31 01 2018 tarihinde yapılan denetimlerde sürücünün belirlenen süreden fazla sürede çalışma yaptığı anlaşılmıştır. Sürücü 12 saattir direksiyon basindadir.
Müspet,15BK hattinda çalışan C-1764 kodlu araca 31.01.2018 günü yapılan denetimde sürücü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,31 01 2018 tarihinde yapılan denetimlerde sürücünün belirlenen süreden fazla sürede çalışma yaptığı anlaşılmıştır
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :19:20
Müspet,31 01 2018 tarihinde yapılan denetimlerde sürücünün belirlenen süreden fazla sürede çalıştığı anlasilmistir
Müspet,31 01 2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır
Müspet,31 01 2018
Müspet,31 01 2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır
Müspet,31 01 2018 tarihinde yapılan denetimlerde sürücünün belirlenen süreden fazla sürede çalışma yaptığı anlaşılmıştır
Menfi,HAT NUMARASI: 38B SAAT:16:32 PLAKA: 34 LJE 46 DURAK:DEMİRKAPI DEMİRKAPIDAN EDİRNEKAPIYA GİDEN ARAÇ DURAKTA DURMADI.ŞİKAYETÇİYİM.GEREĞİNİN YAPILMASINI TALEP EDERİM. iett tespit : 33 km
Menfi,31 01 2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır
Müspet,Kapı üstünde c-1844 yazıyordu e-9 maltepe sabiha gökçen havalimanı hattı saat 16.00 maltepe hareket saat 16.50 sabiha gökçen varışlı sefer idi şöför bey 50 yaşlarında önden hafif kel birisi idi 6 tl metal para verdim yanında başka şöförde vardı
Müspet,31.01.2018 Tarihinde Yapılan Denetimde sürücü kadir okutanın belirlenen süreden fazla çalıştığı tespit edilmiştir. Görüntü ektedir
Müspet,31.01.2018 Tarihinde Yapılan Denetimde Sürücü Semih Azarın Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Müspet,31.01.2018 Tarihinde Yapılan Denetimde Sürücü Hidayet Yılmazın Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Müspet,31.01.2018 Tarihinde Yapılan Denetimde Sürücü Serdal Özdemirin Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Menfi,31.01.2018 Tarihinde Yapılan Denetimde Sürücü Ruhan Yıldız ın Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Müspet,31.01.2018 Tarihinde Yapılan Denetimde Sürücü Hayati Yelkencinin Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Menfi,sabah ve akşam yapılan fiziki denetimde TURGUT TOBAY ın gün boyu tek çalıştığı tespit edilmiştir
Müspet,31.01.2018 Tarihinde Yapılan Denetimde Daha Önce Uyarı Verilmesine Rağmen Aracın İç Ekranların Uzun Süredir Çalışmadığı Tespit Edilmiştir. Görüntü Ektedir
Menfi,sabah ve akşam yapılan fiziki denetimde İSMAİL ÖZDEMİR in gün boyu tek çalıştığı tespit edilmiştir
Menfi,sabah ve akşam yapılan fiziki denetimde DADAŞ DEMİRBAŞ ın gün boyu tek çalıştığı tespit edilmiştir
Menfi,sabah ve akşam yapılan fiziki denetimde YILMAZ DEMŞRBAŞ ın gün boyu tek çalıştığı tespit edilmiştir.
Müspet,31.01.2018 Tarihinde Yapılan Denetimde Aracın İç Ekranları Uyarılmasına Ragmen Arızalı Olduğu Tespit Edilmiştir. Görüntü Ektedir
