,tf values
şi,29508
bi,27955
araç,27276
sefer,26807
yi,25488
zayi,24114
kayetçi,23613
ve,22017
ni,21876
saati,19520
gi,17639
bu,15590
yapilmasini,14548
gereği,12979
raporu,12556
etkilenmistir,12500
saat,12435
otobus,12218
ilk,11869
yoklugu,11583
ndi,10845
di,10832
ederi,10506
yorum,10001
beli,9985
arz,9417
hat,9098
şoförü,8832
durağinda,8490
de,8387
edi,8276
durakta,8265
şoför,8092
otobüs,8071
çi,7955
ği,7877
olduğum,7764
10,7650
talep,7610
si,7602
06,7408
dedi,7186
kapi,7182
20,6993
07,6856
rtmi,6803
numarali,6574
nde,6570
araca,6505
00,6286
etti,6269
ne,6249
15,6220
yönüne,6091
da,6045
araci,5961
aracin,5759
durak,5713
yolcu,5463
30,5402
ben,5231
sti,5151
rağmen,5019
2018,4914
hareket,4703
bir,4653
tespit,4482
ci,4467
beni,4463
yapılan,4326
yor,4246
mi,4228
durağa,4198
olarak,4189
08,4160
durmadi,4160
ri,4094
çok,4020
ki,3949
05,3943
devam,3895
40,3885
li,3870
34,3864
18,3851
50,3829
sonra,3803
yönü,3718
ye,3713
mağdur,3711
bekli,3694
19,3601
daha,3593
14,3580
kli,3535
11,3482
kodlu,3438
12,3426
dk,3406
edilmiştir,3378
geldi,3368
seferi,3321
17,3247
erken,3238
09,3154
nolu,3144
21,3141
16,3124
bana,3118
rdi,3113
geçti,3071
durağindan,3033
plakali,3022
22,2994
fakat,2981
tarihinde,2974
13,2972
45,2959
den,2915
dolayi,2849
tti,2843
le,2817
aracın,2805
ihlali,2785
kapı,2762
ihlal,2750
zi,2706
kameti,2664
lde,2600
sürekli,2599
şeki,2562
olduğu,2530
hatti,2520
no,2467
rtti,2460
kendi,2456
ile,2364
denetimde,2311
25,2263
gelmedi,2263
olan,2229
kadiköy,2210
lgi,2207
doğru,2191
derken,2182
stedi,2163
gerekli,2158
söyledi,2149
kadar,2130
durmadan,2110
ederim,2082
gözlem,2065
kalkiş,2059
35,2027
duraktan,2021
neden,1950
ancak,1943
nmek,1943
otobüsü,1935
için,1912
çeri,1912
var,1895
süre,1893
olay,1887
oldum,1887
